Year,state,NAME,Total_Population,Educational Attainment for the Population 25 Years and Over_Estimate!!Total: (B15003_001E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Bachelor's degree (B15003_022E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Master's degree (B15003_023E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Professional school degree (B15003_024E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Doctorate degree (B15003_025E),Median_Earnings_for_Total_25plus_Population,Median_Earnings_Less_Than_HS,Median_Earnings_HS,Median_Earnings_Some_College,Median_Earnings_Bachelors_Degree,Median_Earnings_Postgraduate,Pct_With_Bachelors_Degree,State_Abbrev,Region
2023,01,Alabama,5054253,3448302,584986,269176,58744,44175,45197,29246,36273,41510,59318,72667,27.75513861604929,AL,South
2023,02,Alaska,733971,487903,95793,41004,9294,6341,56492,33492,42584,53446,68158,90606,31.24227561625979,AK,West
2023,04,Arizona,7268175,4990633,999535,454564,99314,74049,49333,32329,39212,45811,65087,82033,32.610332196336614,AZ,West
2023,05,Arkansas,3032651,2043779,324625,137592,29944,21060,42450,30773,35652,39782,56594,72437,25.11137456642817,AR,South
2023,06,California,39242785,26941198,6035609,2587003,703157,508592,54437,31554,40371,48785,78553,108925,36.5030575106571,CA,West
2023,08,Colorado,5810774,4038534,1117774,505200,103260,80121,57768,36923,43437,48510,71341,87477,44.72798792829279,CO,West
2023,09,Connecticut,3598348,2532853,581935,348926,82933,48609,60274,31797,43792,49887,77594,97292,41.9449135026786,CT,Northeast
2023,10,Delaware,1005872,710442,144339,77430,14283,14574,52220,34353,40051,46540,68099,85974,35.27747514927327,DE,South
2023,11,District of Columbia,672079,484406,126307,109725,49738,22136,88766,32342,37830,50683,91863,121156,63.563622250756595,DC,South
2023,12,Florida,21928881,15850299,3285363,1377572,385231,215765,45117,29126,35746,42105,58016,76018,33.2102946449149,FL,South
2023,13,Georgia,10822590,7253060,1503574,696210,168691,112432,48542,30921,36928,42932,65369,82304,34.204970040231295,GA,South
2023,15,Hawaii,1445635,1027351,230641,89317,27515,16925,52424,33016,42206,48182,62033,83584,35.46966908096648,HI,West
2023,16,Idaho,1893296,1244319,258838,91217,21392,16585,45294,33812,37452,41583,56280,76655,31.18428634457884,ID,West
2023,17,Illinois,12692653,8738607,1949199,952141,214504,133650,53922,33211,39901,46495,71374,89635,37.18549192108078,IL,Midwest
2023,18,Indiana,6811752,4559304,835437,351821,70656,55172,47844,33381,39102,45401,60614,77245,28.800141425094708,IN,Midwest
2023,19,Iowa,3195937,2140476,441400,154288,36061,28870,49543,35519,40329,46344,61245,78533,30.863181834320965,IA,Midwest
2023,20,Kansas,2937569,1933293,425528,188358,38098,27680,48974,34105,38187,43855,61392,74279,35.15576790481319,KS,Midwest
2023,21,Kentucky,4510725,3078157,489842,245008,60045,35961,45133,28394,36578,42028,59031,70200,26.99199553499058,KY,South
2023,22,Louisiana,4621025,3110254,521668,210724,57559,35843,45559,28839,36473,41389,59232,69261,26.550693287429258,LA,South
2023,23,Maine,1377400,1016630,223713,95805,23323,16482,47897,34113,39062,44888,56006,72350,35.34452062205522,ME,Northeast
2023,24,Maryland,6170738,4272813,959925,607433,135295,123392,63133,35078,43729,53432,78607,103591,42.73636594908319,MD,South
2023,25,Massachusetts,6992395,4945630,1249640,739993,155415,160851,64893,35461,45266,51776,79390,100945,46.62498003287751,MA,Northeast
2023,26,Michigan,10051595,6967452,1343511,643070,133714,92809,48640,30333,36821,43367,65476,83727,31.763462453706175,MI,Midwest
2023,27,Minnesota,5713716,3897590,984748,373798,91034,63794,56740,35141,41846,50221,71179,88364,38.828455532777944,MN,Midwest
2023,28,Mississippi,2951438,1970298,290133,133964,29386,22514,41331,26749,34315,38500,52657,64563,24.158629811328034,MS,South
2023,29,Missouri,6168181,4217432,824697,380529,82828,57176,47467,30807,37463,43468,60310,74191,31.89689839693918,MO,Midwest
2023,30,Montana,1105072,770335,175932,60840,16522,12772,45186,32096,37052,40926,52922,70797,34.538999266552864,MT,West
2023,31,Nebraska,1965926,1290256,286381,109152,26183,18518,50133,36198,39715,45807,60682,76879,34.119895586612266,NE,Midwest
2023,32,Nevada,3141000,2196081,390041,149136,38368,23848,46606,35283,39536,45642,60125,80626,27.38482779096035,NV,West
2023,33,New Hampshire,1387834,1009222,243501,120245,20737,17355,58184,39024,46851,50808,70229,87088,39.81661121140839,NH,Northeast
2023,34,New Jersey,9267014,6459220,1666634,808480,182536,114036,61736,33224,41354,51081,80342,104865,42.910537185604454,NJ,Northeast
2023,35,New Mexico,2114768,1450999,240734,138889,28774,29831,42621,26786,33805,39656,54832,76187,30.20181268215898,NM,West
2023,36,New York,19872319,13996138,3083769,1767944,438449,245341,56438,30516,39815,48364,74096,93718,39.55021735281547,NY,Northeast
2023,37,North Carolina,10584340,7261810,1582709,681421,144873,112350,47176,30094,36262,41750,61842,78340,34.72072389665937,NC,South
2023,38,North Dakota,779361,509149,115348,35299,7107,6624,52208,38127,42246,49140,60146,74416,32.284851782091295,ND,Midwest
2023,39,Ohio,11780046,8123344,1545678,714000,150960,103491,48922,30569,38336,44564,65389,82588,30.949434124665903,OH,Midwest
2023,40,Oklahoma,3995260,2641325,478236,181189,43076,31292,44967,30185,36759,42232,56573,71642,27.781246154865457,OK,South
2023,41,Oregon,4238714,3021010,674901,289547,72598,57266,50487,33581,38765,45335,65659,85864,36.223382246334836,OR,West
2023,42,Pennsylvania,12986518,9153146,1883145,912477,201720,159976,52040,32459,39658,46357,66891,85906,34.49434762648821,PA,Northeast
2023,44,Rhode Island,1095371,776505,172759,82416,19212,15280,55293,35144,43381,49471,68556,90091,37.30394524182072,RI,Northeast
2023,45,South Carolina,5212774,3610374,701835,321227,65889,47257,45979,28990,36455,42343,59863,71771,31.470645423438125,SC,South
2023,46,South Dakota,899194,596137,128272,39055,10558,7526,47164,32879,38858,44757,56873,70482,31.102078884551705,SD,Midwest
2023,47,Tennessee,6986082,4805533,913559,386013,90905,70024,46173,30748,36838,42616,59726,74969,30.392070973188613,TN,South
2023,48,Texas,29640343,19294631,4078930,1692013,354163,256865,49558,30094,37085,45712,68186,85393,33.07640866518774,TX,South
2023,49,Utah,3331187,2003084,486239,184689,37789,30838,52135,36596,41486,46262,63328,91952,36.92081809849213,UT,West
2023,50,Vermont,645254,462996,114217,60466,12578,10108,51085,35110,42261,45607,56774,74297,42.62866201867835,VT,Northeast
2023,51,Virginia,8657499,5958915,1390116,798448,160592,122474,57509,31587,40267,47585,74465,101373,41.477852931280275,VA,South
2023,53,Washington,7740984,5409147,1279696,594492,126496,96470,59987,36276,44683,51861,78782,104701,38.77051224527638,WA,West
2023,54,West Virginia,1784462,1269202,175886,86870,18421,14364,43838,26902,36510,40495,55451,69280,23.28557629124442,WV,South
2023,55,Wisconsin,5892023,4069583,879907,328124,69811,55286,51533,35573,41003,47921,64443,78648,32.75834403672317,WI,Midwest
2023,56,Wyoming,579761,395504,74355,32292,6542,5147,49290,36402,41135,44426,58411,73535,29.920304219426352,WY,West
2023,72,Puerto Rico,3254885,2412064,499924,139661,30580,32488,22079,12760,17033,20061,28988,41197,29.13077762447431,PR,
